record_id,entity_or_structure,field_name,physical_path,symbol_or_container,data_type,shape_or_cardinality,presence_rule,allowed_values_or_taxonomy,semantic_role,source_of_value,consumer,derivation_rule,validation_rule,history_behavior,publication_status,human_validation,duplicate_group,confidence,evidence_reference,notes
F066,PublishedGSDRelevanceAssessment,clinicalNeedRefs,painel-gsds/src/schemas/startups/publishedRelations.ts,publishedGSDRelevanceAssessmentSchema.clinicalNeedRefs,string[],0..*,required array may be empty,opaque PAG-* strings observed on indirects,IDENTIFIER|ASSESSMENT_OR_INTERPRETATION,published snapshot authoring,queryStartups filter not in UI,NOT_APPLICABLE,publishedRelations.ts:43 no FK,stored,PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,publishedRelations.ts:43; json:1889 PAG-001,93 assessments non-empty; 28 directs empty. No PAG entity file in app.
F067,PublishedGSDRelevanceAssessment,socioeconomicNeedRefs,painel-gsds/src/schemas/startups/publishedRelations.ts,publishedGSDRelevanceAssessmentSchema.socioeconomicNeedRefs,string[],0..*,required array may be empty,unconstrained strings,IDENTIFIER,published snapshot authoring as empty,queryStartups filter not in UI,NOT_APPLICABLE,publishedRelations.ts:44,stored empty,PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,publishedRelations.ts:44,121/121 empty arrays.
F068,PublishedGSDRelevanceAssessment,rationale,painel-gsds/src/schemas/startups/publishedRelations.ts,publishedGSDRelevanceAssessmentSchema.rationale,string,1,required min 20 chars,free text,ASSESSMENT_OR_INTERPRETATION|CLAIM_OR_ASSERTION,published snapshot authoring,StartupDetail assessment paragraph; search,NOT_APPLICABLE,publishedRelations.ts:45; startups.test.ts:69-78 inspected,overwrite inside same file would drop prior wording,PUBLISHED,NOT_OBSERVED,DUP-ASSET-TEXT,FACT,publishedRelations.ts:45; StartupDetail.tsx:127-130; Kriya json:4925,Preserve nine-case wording. Not a Home Claim clm-*. Not RAW_DATA.
F069,PublishedGSDRelevanceAssessment,confidence,painel-gsds/src/schemas/startups/publishedRelations.ts,publishedGSDRelevanceAssessmentSchema.confidence,enum string,1,required,startupConfidenceValues including not-assigned taxonomies.ts:30,TAXONOMY|ASSESSMENT_OR_INTERPRETATION,published snapshot authoring,ConfidenceBadge; filter; Set on list item,badge hides not-assigned StartupBadges.tsx:35-36,publishedRelations.ts:46,stored,PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,publishedRelations.ts:46; taxonomies.ts:30-37; StartupBadges.tsx:35-36,All 28 directs not-assigned.
F070,PublishedGSDRelevanceAssessment,evidenceRefs,painel-gsds/src/schemas/startups/publishedRelations.ts,publishedGSDRelevanceAssessmentSchema.evidenceRefs,StartupPublicEvidenceRef[],0..* (min 1 if not direct-gsd),required array; min 1 unless relationship direct-gsd,see evidence ref fields,EVIDENCE,published snapshot authoring,join to publicSources,NOT_APPLICABLE,publishedRelations.ts:47-60,stored,PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,publishedRelations.ts:47-60,28 directs []. Nested fields separate rows.
F071,PublishedGSDRelevanceAssessment,assessedAt,painel-gsds/src/schemas/startups/publishedRelations.ts,publishedGSDRelevanceAssessmentSchema.assessedAt,string date,1,required YYYY-MM-DD,ISO date,PROVENANCE,published snapshot authoring,derived list lastReviewedAt max,NOT_APPLICABLE,publishedRelations.ts:49,stored,PUBLISHED,NOT_OBSERVED,DUP-REVIEW-DATE,FACT,publishedRelations.ts:49; queryStartups.ts:67-69,NOT_APPLICABLE
F072,PublishedGSDRelevanceAssessment,protocolVersion,painel-gsds/src/schemas/startups/publishedRelations.ts,publishedGSDRelevanceAssessmentSchema.protocolVersion,string,1,required,observed brazil-indirect-v1 | global-indirect-v1 | direct-global-v1,PROVENANCE,published snapshot authoring,not shown in UI,NOT_APPLICABLE,publishedRelations.ts:50,stored,PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,publishedRelations.ts:50; json:4401,NOT_APPLICABLE
F073,PublishedGSDRelevanceAssessment,directContext,painel-gsds/src/schemas/startups/publishedRelations.ts,publishedGSDRelevanceAssessmentSchema.directContext,object,0..1,optional; observed on all 28 directs none of 93 indirects,publishedDirectContextSchema strict,ASSESSMENT_OR_INTERPRETATION,published snapshot authoring,StartupDetail dl; VIZ03/04 field parents,NOT_APPLICABLE,"publishedRelations.ts:23-33,51 optional",stored nested; not a separate id,PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,"publishedRelations.ts:23-33,51; json:4402-4410",Optional in schema not required for direct-gsd. Nested fields inventoried separately.
F080,PublishedDirectContext,organizationStatus,painel-gsds/src/schemas/startups/publishedRelations.ts,publishedDirectContextSchema.organizationStatus,enum string,0..1,optional in schema; observed 28/28 directs,startupDirectOrganizationStatusValues taxonomies.ts:41-46,TAXONOMY|ASSESSMENT_OR_INTERPRETATION,published snapshot authoring,VIZ04; StartupDetail dt Status da organizacao,VIZ04 counts by this field only aggregateObservatoryCharts.ts:148,publishedRelations.ts:25 optional enum,stored,PUBLISHED,NOT_OBSERVED,DUP-STATUS-CORP,FACT,publishedRelations.ts:25; taxonomies.ts:41-46; AskBio json:4715 vs org operationalStatus json:1656,MUST NOT collapse with organization.operationalStatus. VIZ04 uses this field.
F081,PublishedDirectContext,currentGsdActivity,painel-gsds/src/schemas/startups/publishedRelations.ts,publishedDirectContextSchema.currentGsdActivity,enum string,0..1,optional in schema; observed 28/28 directs,startupDirectGsdActivityValues taxonomies.ts:60-64,TAXONOMY|ASSESSMENT_OR_INTERPRETATION,published snapshot authoring,VIZ03; StartupDetail Atividade GSD,VIZ03 aggregateObservatoryCharts.ts:124,publishedRelations.ts:26,stored,PUBLISHED,NOT_OBSERVED,DUP-ACTIVITY,FACT,publishedRelations.ts:26; taxonomies.ts:59-70; AskBio json:4716 confirmed-current; Cometa json:4404,MUST remain distinct from organizationStatus and operationalStatus.
F082,PublishedDirectContext,assetRole,painel-gsds/src/schemas/startups/publishedRelations.ts,publishedDirectContextSchema.assetRole,enum string,0..1,optional in schema; observed 28/28 directs,startupDirectAssetRoleValues taxonomies.ts:77-86,TAXONOMY|ASSESSMENT_OR_INTERPRETATION,published snapshot authoring,StartupDetail Papel no ativo; 5D sensitive tests inspected,NOT_APPLICABLE,publishedRelations.ts:27,stored,PUBLISHED,NOT_OBSERVED,DUP-VAL-1221,FACT,publishedRelations.ts:27; taxonomies.ts:72-97; Maze json:4645 historical-owner; Kriya json:4933 historical-association-ownership-unverified; Parasail json:4981 license-holder,MUST remain distinct. Maze/Valerion historical-owner; Kriya not. Parasail not owner.
F083,PublishedDirectContext,indication,painel-gsds/src/schemas/startups/publishedRelations.ts,publishedDirectContextSchema.indication,string,0..1,optional min 1 if present; observed 28/28,free text,EDITORIAL|CLAIM_OR_ASSERTION,published snapshot authoring,StartupDetail Indicação GSD,NOT_APPLICABLE,publishedRelations.ts:28,stored,PUBLISHED,NOT_OBSERVED,DUP-ASSET-TEXT,FACT,publishedRelations.ts:28; StartupDetail.tsx:133-137; Kriya json:4934,Free text not gsdRefs. Preserve wording.
F084,PublishedDirectContext,assetOrProgram,painel-gsds/src/schemas/startups/publishedRelations.ts,publishedDirectContextSchema.assetOrProgram,string,0..1,optional; observed 28/28,free text,EDITORIAL|CLAIM_OR_ASSERTION,published snapshot authoring,StartupDetail Ativo / programa,NOT_APPLICABLE,publishedRelations.ts:29,stored,PUBLISHED,NOT_OBSERVED,DUP-ASSET-TEXT|DUP-VAL-1221,FACT,publishedRelations.ts:29; StartupDetail.tsx:139-144; Valerion json:4791; Parasail json:4983,Not a structured Asset/Program entity. Same VAL-1221 token on two orgs without FK.
F085,PublishedDirectContext,modality,painel-gsds/src/schemas/startups/publishedRelations.ts,publishedDirectContextSchema.modality,string,0..1,optional; observed 28/28,free text,EDITORIAL|CLAIM_OR_ASSERTION,published snapshot authoring,StartupDetail Modalidade,NOT_APPLICABLE,publishedRelations.ts:30,stored,PUBLISHED,NOT_OBSERVED,DUP-MODALITY,FACT,publishedRelations.ts:30; StartupDetail.tsx:145-149; json:4408,Do not merge with assessment.modalities[].
F086,PublishedDirectContext,developmentStage,painel-gsds/src/schemas/startups/publishedRelations.ts,publishedDirectContextSchema.developmentStage,string,0..1,optional; observed 28/28,free text not product stage enum,EDITORIAL|CLAIM_OR_ASSERTION,published snapshot authoring,StartupDetail Estágio,NOT_APPLICABLE,publishedRelations.ts:31,stored,PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,publishedRelations.ts:31; StartupDetail.tsx:151-155; AUG json:4961; Parasail json:4985,Prose may name successor orgs. Not Product.stage enum.
F090,StartupPublicEvidenceRef,sourceId,painel-gsds/src/schemas/startups/publishedRelations.ts,startupPublicEvidenceRefSchema.sourceId,string,1 per ref,required FK,regex ^sps-[a-z0-9-]+$,IDENTIFIER|EVIDENCE,published snapshot authoring,join publicSources,NOT_APPLICABLE,publishedRelations.ts:17; publishedSnapshot.ts:132-139,stored nested,PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,publishedRelations.ts:17; json:1895-1901,NOT_APPLICABLE
F091,StartupPublicEvidenceRef,locator,painel-gsds/src/schemas/startups/publishedRelations.ts,startupPublicEvidenceRefSchema.locator,string,0..1,optional,free text,SOURCE_METADATA,schema only in current freeze,StartupDetail evidence flatten if present,NOT_APPLICABLE,publishedRelations.ts:18,NOT_OBSERVED,PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,publishedRelations.ts:18,NOT_OBSERVED in current snapshot (no locator keys).
F092,StartupPublicEvidenceRef,role,painel-gsds/src/schemas/startups/publishedRelations.ts,startupPublicEvidenceRefSchema.role,enum string,1,required,startupEvidenceRoleValues supports|contextual|method,TAXONOMY|EVIDENCE,published snapshot authoring,StartupEvidenceList meta,NOT_APPLICABLE,publishedRelations.ts:19,stored,PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,publishedRelations.ts:19; taxonomies.ts:204-211; json:1897,NOT_APPLICABLE
F100,StartupPublicSource,id,painel-gsds/src/schemas/startups/publishedRelations.ts,startupPublicSourceSchema.id,string,1,required,regex ^sps-[a-z0-9-]+$,IDENTIFIER,published snapshot authoring,evidence join,NOT_APPLICABLE,publishedRelations.ts:78 unique,5D inspected: no sps-gsd-dir-*,PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,publishedRelations.ts:78; json:5008 sps-gsd-br-002-02,NOT_APPLICABLE
F101,StartupPublicSource,title,painel-gsds/src/schemas/startups/publishedRelations.ts,startupPublicSourceSchema.title,string,1,required,free text,SOURCE_METADATA|EDITORIAL,published snapshot authoring,StartupEvidenceList title,NOT_APPLICABLE,publishedRelations.ts:79,stored,PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,publishedRelations.ts:79; StartupEvidenceList.tsx:23,Curated catalog title not raw scrape.
F102,StartupPublicSource,publisher,painel-gsds/src/schemas/startups/publishedRelations.ts,startupPublicSourceSchema.publisher,string,0..1,optional; comment says set only for official site URL,free text,SOURCE_METADATA|EDITORIAL,published snapshot authoring,evidence meta,NOT_APPLICABLE,publishedRelations.ts:81; 5C test inspected publisher iff company-site,stored,PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,publishedRelations.ts:80-81; globalIndirect.5c.test.ts:165-172,176/217 present. Test NOT_EXECUTED_IN_7B_0.
F103,StartupPublicSource,url,painel-gsds/src/schemas/startups/publishedRelations.ts,startupPublicSourceSchema.url,string url,0..1,optional; required-ish when availability public,URL,SOURCE_METADATA,published snapshot authoring,Abrir fonte link,NOT_APPLICABLE,"publishedRelations.ts:82,89-96",stored,PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,"publishedRelations.ts:82,89-96",217/217 have url in current freeze. Catalog metadata not RAW_DATA crawl dump.
F104,StartupPublicSource,sourceType,painel-gsds/src/schemas/startups/publishedRelations.ts,startupPublicSourceSchema.sourceType,enum string,1,required,startupPublicSourceTypeValues taxonomies.ts:182-190,TAXONOMY|SOURCE_METADATA,published snapshot authoring,evidence meta label,NOT_APPLICABLE,publishedRelations.ts:83,stored,PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,publishedRelations.ts:83; taxonomies.ts:182-202,NOT_APPLICABLE
F105,StartupPublicSource,publishedAt,painel-gsds/src/schemas/startups/publishedRelations.ts,startupPublicSourceSchema.publishedAt,string date,0..1,optional,ISO date,PROVENANCE,schema only in current freeze,none,NOT_APPLICABLE,publishedRelations.ts:84,NOT_OBSERVED,PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,publishedRelations.ts:84,NOT_OBSERVED in current snapshot (0/217).
F106,StartupPublicSource,accessedAt,painel-gsds/src/schemas/startups/publishedRelations.ts,startupPublicSourceSchema.accessedAt,string date,1,required,ISO date,PROVENANCE,published snapshot authoring,not displayed,NOT_APPLICABLE,publishedRelations.ts:85,stored,PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,publishedRelations.ts:85,NOT_APPLICABLE
F107,StartupPublicSource,availability,painel-gsds/src/schemas/startups/publishedRelations.ts,startupPublicSourceSchema.availability,enum string,1,required,public|registration|restricted-summary-only,TAXONOMY|SOURCE_METADATA,published snapshot authoring,schema url rule if public,NOT_APPLICABLE,"publishedRelations.ts:86,89-96",stored,PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,publishedRelations.ts:86,NOT_APPLICABLE
F108,StartupPublicSource,notes,painel-gsds/src/schemas/startups/publishedRelations.ts,startupPublicSourceSchema.notes,string,0..1,optional,free text,EDITORIAL,schema only in current freeze,none,NOT_APPLICABLE,publishedRelations.ts:87,NOT_OBSERVED,PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,publishedRelations.ts:87,NOT_OBSERVED in current snapshot (0/217).
F110,PublishedProductOrProgram,id,painel-gsds/src/schemas/startups/publishedRelations.ts,publishedProductOrProgramSchema.id,string,1 if instance exists,required on instance; collection empty,regex ^prd-[a-z0-9-]+$,IDENTIFIER,schema; no instances,StartupDetail product list if any,NOT_APPLICABLE,publishedRelations.ts:64,NOT_OBSERVED,PUBLISHED,NOT_OBSERVED,DUP-ASSET-TEXT,FACT,publishedRelations.ts:64; json:1860 [],NOT_OBSERVED instances. Schema still physical.
F111,PublishedProductOrProgram,organizationId,painel-gsds/src/schemas/startups/publishedRelations.ts,publishedProductOrProgramSchema.organizationId,string,1,required on instance,regex ^org-[a-z0-9-]+$,IDENTIFIER,schema; no instances,join,NOT_APPLICABLE,publishedRelations.ts:65; publishedSnapshot.ts:170-176,NOT_OBSERVED,PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,publishedRelations.ts:65,NOT_OBSERVED instances.
F112,PublishedProductOrProgram,name,painel-gsds/src/schemas/startups/publishedRelations.ts,publishedProductOrProgramSchema.name,string,1,required on instance,free text,EDITORIAL,schema; no instances,search haystack; detail,NOT_APPLICABLE,publishedRelations.ts:66,NOT_OBSERVED,PUBLISHED,NOT_OBSERVED,DUP-ASSET-TEXT,FACT,publishedRelations.ts:66; queryStartups.ts:110,NOT_OBSERVED instances. Contrast assetOrProgram text on assessments.
F113,PublishedProductOrProgram,modality,painel-gsds/src/schemas/startups/publishedRelations.ts,publishedProductOrProgramSchema.modality,string,1,required on instance,free text,EDITORIAL,schema; no instances,search; detail,NOT_APPLICABLE,publishedRelations.ts:67,NOT_OBSERVED,PUBLISHED,NOT_OBSERVED,DUP-MODALITY,FACT,publishedRelations.ts:67,NOT_OBSERVED instances.
F114,PublishedProductOrProgram,indicationOrNeed,painel-gsds/src/schemas/startups/publishedRelations.ts,publishedProductOrProgramSchema.indicationOrNeed,string[],1..*,required min 1 on instance,free text,EDITORIAL,schema; no instances,none currently,NOT_APPLICABLE,publishedRelations.ts:68,NOT_OBSERVED,PUBLISHED,NOT_OBSERVED,DUP-ASSET-TEXT,FACT,publishedRelations.ts:68,NOT_OBSERVED instances.
F115,PublishedProductOrProgram,gsdRefs,painel-gsds/src/schemas/startups/publishedRelations.ts,publishedProductOrProgramSchema.gsdRefs,string[],0..*,required array on instance,unconstrained strings,IDENTIFIER,schema; no instances,none,NOT_APPLICABLE,publishedRelations.ts:69,NOT_OBSERVED,PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,publishedRelations.ts:69,NOT_OBSERVED instances.
F116,PublishedProductOrProgram,stage,painel-gsds/src/schemas/startups/publishedRelations.ts,publishedProductOrProgramSchema.stage,enum string,1,required on instance,startupProductStageValues taxonomies.ts:154-165,TAXONOMY,schema; no instances,StartupDetail stage label,NOT_APPLICABLE,publishedRelations.ts:70,NOT_OBSERVED,PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,publishedRelations.ts:70; taxonomies.ts:154-180,NOT_OBSERVED instances. Distinct from free-text developmentStage.
F117,PublishedProductOrProgram,stageObservedAt,painel-gsds/src/schemas/startups/publishedRelations.ts,publishedProductOrProgramSchema.stageObservedAt,string date,0..1,optional on instance,ISO date,PROVENANCE,schema; no instances,none,NOT_APPLICABLE,publishedRelations.ts:71,NOT_OBSERVED,PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,publishedRelations.ts:71,NOT_OBSERVED instances.
F118,PublishedProductOrProgram,territories,painel-gsds/src/schemas/startups/publishedRelations.ts,publishedProductOrProgramSchema.territories,string[],0..*,required array on instance,free text,UNKNOWN,schema; no instances,none,NOT_APPLICABLE,publishedRelations.ts:72,NOT_OBSERVED,PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,publishedRelations.ts:72,NOT_OBSERVED instances.
F119,PublishedProductOrProgram,evidenceRefs,painel-gsds/src/schemas/startups/publishedRelations.ts,publishedProductOrProgramSchema.evidenceRefs,StartupPublicEvidenceRef[],1..*,min 1 on instance,same as assessment evidence refs,EVIDENCE,schema; no instances,join sources,NOT_APPLICABLE,publishedRelations.ts:73; publishedSnapshot.ts:177-185,NOT_OBSERVED,PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,publishedRelations.ts:73,NOT_OBSERVED instances. v0.3 doc claimRefs CONTRADICTED by this field name.
F130,StartupListItem,relations,painel-gsds/src/lib/startups/queryStartups.ts,StartupListItem.relations,StartupRelation[] unique,0..*,always derived,startupRelationValues,DERIVED|TAXONOMY,Set of assessment.relationship,badges; filters; VIZ01 similar unit,queryStartups.ts:62,NOT_APPLICABLE,not persisted,NOT_APPLICABLE,NOT_OBSERVED,DUP-COUNT-ADJ,FACT,queryStartups.ts:62; StartupCard.tsx:26-28,In-memory. Adjacent filter uses this Set (81 orgs).
F131,StartupListItem,geographies,painel-gsds/src/lib/startups/queryStartups.ts,StartupListItem.geographies,StartupGeography[] unique,0..*,always derived,brazil|global,DERIVED|TAXONOMY,Set of geographicScopes,badges; filters,queryStartups.ts:63-65,NOT_APPLICABLE,not persisted,NOT_APPLICABLE,NOT_OBSERVED,DUP-COUNT-GEO,FACT,queryStartups.ts:63-65,Saventic yields both brazil and global.
F132,StartupListItem,confidences,painel-gsds/src/lib/startups/queryStartups.ts,StartupListItem.confidences,StartupConfidence[] unique,0..*,always derived,startupConfidenceValues,DERIVED|TAXONOMY,Set of assessment.confidence,badges hide not-assigned; filters include it,queryStartups.ts:66,NOT_APPLICABLE,not persisted,NOT_APPLICABLE,NOT_OBSERVED,NOT_APPLICABLE,FACT,queryStartups.ts:66; StartupBadges.tsx:35-36,NOT_APPLICABLE
F133,StartupListItem,lastReviewedAt,painel-gsds/src/lib/startups/queryStartups.ts,StartupListItem.lastReviewedAt,string date,1,always derived,ISO date,DERIVED|PROVENANCE,"max(org.lastReviewedAt, assessments.assessedAt)",sort reviewed-*,queryStartups.ts:67-69,NOT_APPLICABLE,not persisted,NOT_APPLICABLE,NOT_OBSERVED,DUP-REVIEW-DATE,FACT,queryStartups.ts:67-69,NOT_APPLICABLE
F134,StartupListItem,sources,painel-gsds/src/lib/startups/queryStartups.ts,StartupListItem.sources,StartupPublicSource[],0..*,always derived,joined sources,DERIVED|EVIDENCE,union evidenceRefs of assessments and products,StartupEvidenceList,queryStartups.ts:51-60,drops unknown ids via Boolean filter,not persisted,NOT_APPLICABLE,NOT_OBSERVED,NOT_APPLICABLE,FACT,queryStartups.ts:51-60,28 directs derive empty sources.
F135,StartupListItem,products,painel-gsds/src/lib/startups/queryStartups.ts,StartupListItem.products,PublishedProductOrProgram[],0..*,always derived,joined products,DERIVED,productsOrPrograms filtered by org id,detail empty copy when [],queryStartups.ts:48-50,NOT_APPLICABLE,not persisted,NOT_APPLICABLE,NOT_OBSERVED,DUP-ASSET-TEXT,FACT,queryStartups.ts:48-50; StartupDetail.tsx:185-189,Always [] in current freeze.
F140,ObservatoryPageDerivedCoverage,coverageSummary,painel-gsds/src/pages/inovacao/startups/index.astro,coverageSummary,string,1,always derived at page build,free text,DERIVED|EDITORIAL,snapshot.coverage.summary after regex,StartupCoverageNotice; empty state,index.astro:22-26,NOT_APPLICABLE,not persisted; JSON unchanged,NOT_APPLICABLE,NOT_OBSERVED,DUP-COVERAGE-ECHO,FACT,index.astro:19-26,PENDING_7A_COPY A30_ECHO.
F141,ObservatoryPageDerivedCoverage,coverageLimitations,painel-gsds/src/pages/inovacao/startups/index.astro,coverageLimitations,string[],0..*,always derived,subset of snapshot limitations,DERIVED|EDITORIAL,coverage.limitations filtered,StartupCoverageNotice,index.astro:28 A30_ECHO.test,NOT_APPLICABLE,not persisted,NOT_APPLICABLE,NOT_OBSERVED,DUP-COVERAGE-ECHO,FACT,index.astro:19-28; json:14,PENDING_7A_COPY.
